Variety,Slice,N,Robust,gamma_MLE,gamma_CI_low,gamma_CI_high,gamma_Molnar,Delta_gamma,D_KS,R_LR,p_LR,mu_LN,sigma_LN,Porosity_pct,xmin_mm2,scale_x_mm_px,scale_y_mm_px,Regime,LR_Interpretation
Baguette,1,285,Yes,1.3608,1.3412,1.3818,1.2650,0.0958,0.2361,-7.4809,0.0000,0.2992,1.4668,42.70,0.0844,0.07500,0.07500,Sub-critical,Log-Normal preferred
Baguette,2,901,Yes,1.7289,1.6930,1.7823,1.2650,0.4639,0.0425,-2.0702,0.0384,-1.1005,1.2360,30.28,0.0844,0.07500,0.07500,Supercritical,Log-Normal preferred
Baguette,3,1475,Yes,1.7467,1.7178,1.7773,1.2650,0.4817,0.0816,-4.8464,0.0000,-1.1332,1.0820,36.35,0.0844,0.07500,0.07500,Supercritical,Log-Normal preferred
Brown,1,3926,Yes,1.9614,1.9433,1.9866,1.6370,0.3244,0.0941,-11.3149,0.0000,-0.7172,0.7904,40.48,0.1725,0.11500,0.10000,Supercritical,Log-Normal preferred
Brown,2,4454,Yes,1.9294,1.9112,1.9511,1.6370,0.2924,0.0933,-11.4735,0.0000,-0.6814,0.8321,49.66,0.1725,0.11500,0.10000,Supercritical,Log-Normal preferred
Brown,3,4793,Yes,1.9762,1.9564,1.9945,1.6370,0.3392,0.0714,-9.8697,0.0000,-0.7330,0.8271,51.27,0.1725,0.11500,0.10000,Supercritical,Log-Normal preferred
Croissant,1,1192,Yes,1.5511,1.5303,1.5753,1.2890,0.2621,0.1146,-7.9771,0.0000,-0.3309,1.2674,56.02,0.1170,0.12000,0.06500,Supercritical,Log-Normal preferred
Croissant,2,996,Yes,1.5360,1.5184,1.5572,1.2890,0.2470,0.1596,-9.6200,0.0000,-0.2799,1.1947,38.00,0.1170,0.12000,0.06500,Critical,Log-Normal preferred
Croissant,3,1006,Yes,1.6261,1.6006,1.6523,1.2890,0.3371,0.1326,-7.2351,0.0000,-0.5485,1.1056,30.18,0.1170,0.12000,0.06500,Supercritical,Log-Normal preferred
Homemade,1,567,Yes,1.7674,1.7289,1.8072,1.6380,0.1294,0.1501,-7.0440,0.0000,-0.3164,0.8545,7.91,0.1980,0.12000,0.11000,Supercritical,Log-Normal preferred
Homemade,2,2564,Yes,1.8250,1.7981,1.8504,1.6380,0.1870,0.0826,-8.0078,0.0000,-0.4074,0.9536,38.94,0.1980,0.12000,0.11000,Supercritical,Log-Normal preferred
Homemade,3,1822,Yes,1.6705,1.6491,1.6899,1.6380,0.0325,0.1389,-11.9117,0.0000,-0.1280,1.0000,36.39,0.1980,0.12000,0.11000,Supercritical,Log-Normal preferred
Sourdough,1,640,Yes,1.5017,1.4729,1.5357,1.3310,0.1707,0.1105,-5.8428,0.0000,0.6147,1.4049,43.14,0.2520,0.14000,0.12000,Critical,Log-Normal preferred
Sourdough,2,1332,Yes,1.7424,1.7073,1.7794,1.3310,0.4114,0.0394,-2.6570,0.0079,-0.0313,1.2003,42.17,0.2520,0.14000,0.12000,Supercritical,Log-Normal preferred
Sourdough,3,953,Yes,1.7024,1.6705,1.7419,1.3310,0.3714,0.0870,-3.7171,0.0002,0.0454,1.1789,28.78,0.2520,0.14000,0.12000,Supercritical,Log-Normal preferred
Wheat,1,2752,Yes,2.1730,2.1368,2.2107,1.8580,0.3150,0.0676,-5.8199,0.0000,-0.7651,0.7214,22.41,0.1984,0.11500,0.11500,Supercritical,Log-Normal preferred
Wheat,2,4166,Yes,2.1308,2.1043,2.1546,1.8580,0.2728,0.0817,-8.1143,0.0000,-0.7333,0.6982,36.00,0.1984,0.11500,0.11500,Supercritical,Log-Normal preferred
Wheat,3,3656,Yes,1.8986,1.8794,1.9227,1.8580,0.0406,0.0964,-10.7725,0.0000,-0.5048,0.8464,42.92,0.1984,0.11500,0.11500,Supercritical,Log-Normal preferred
